 ,Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
223,IR_8710,0.950,4,40.300,0.230,40.164,FLIR E40bx
224,IR_8712,0.950,4,40.000,0.220,39.670,FLIR E40bx
225,IR_8714,0.950,4,39.800,0.220,39.566,FLIR E40bx
226,IR_8716,0.950,4,39.500,0.220,39.635,FLIR E40bx
227,IR_8718,0.950,4,39.300,0.210,39.135,FLIR E40bx
228,IR_8720,0.950,4,39.200,0.210,39.144,FLIR E40bx
229,IR_8722,0.950,4,39.000,0.210,38.703,FLIR E40bx
230,IR_8724,0.950,4,38.700,0.220,38.104,FLIR E40bx
231,IR_8728,0.950,4,37.500,0.210,37.194,FLIR E40bx
232,IR_8730,0.950,4,36.800,0.210,36.667,FLIR E40bx
233,IR_8732,0.950,4,36.200,0.230,36.202,FLIR E40bx
234,IR_8734,0.950,4,35.800,0.230,36.003,FLIR E40bx
235,IR_8736,0.950,4,35.500,0.230,35.888,FLIR E40bx
236,IR_8738,0.950,4,35.200,0.230,35.375,FLIR E40bx
237,IR_8740,0.950,4,34.800,0.230,35.256,FLIR E40bx
238,IR_8742,0.950,4,34.700,0.240,35.873,FLIR E40bx
239,IR_8744,0.950,4,34.900,0.230,36.265,FLIR E40bx
240,IR_8746,0.950,4,35.000,0.210,35.749,FLIR E40bx
241,IR_8748,0.950,4,35.200,0.210,35.989,FLIR E40bx
242,IR_8750,0.950,4,35.300,0.220,35.855,FLIR E40bx
243,IR_8754,0.950,4,34.800,0.220,35.042,FLIR E40bx
244,IR_8756,0.950,4,34.500,0.240,34.889,FLIR E40bx
245,IR_8758,0.950,4,34.300,0.250,35.041,FLIR E40bx
246,IR_8760,0.950,4,34.200,0.260,34.926,FLIR E40bx
247,IR_8762,0.950,4,34.200,0.250,34.785,FLIR E40bx
